,Date,Time,Current,RPM
418,2019-12-02,14:48:40.186307,['-1.29'],['1664.36']
419,2019-12-02,14:48:40.218160,['-2.19'],['1663.89']
420,2019-12-02,14:48:40.249967,['-1.38'],['1657.92']
421,2019-12-02,14:48:40.281794,['2.17'],['1671.77']
422,2019-12-02,14:48:40.313429,['2.51'],['1668.06']
423,2019-12-02,14:48:40.329967,['-2.18'],['1665.74']
424,2019-12-02,14:48:40.361514,['-2.47'],['1672.24']
425,2019-12-02,14:48:40.393610,['2.00'],['1658.37']
426,2019-12-02,14:48:40.425517,['2.26'],['1667.13']
427,2019-12-02,14:48:40.457393,['0.05'],['1668.52']
428,2019-12-02,14:48:40.489230,['-2.18'],['1667.13']
429,2019-12-02,14:48:40.521140,['-2.26'],['1661.13']
430,2019-12-02,14:48:40.537037,['2.21'],['1661.59']
431,2019-12-02,14:48:40.569209,['2.45'],['1665.74']
432,2019-12-02,14:48:40.600655,['-2.08'],['1666.20']
433,2019-12-02,14:48:40.632814,['-2.39'],['1668.52']
434,2019-12-02,14:48:40.664392,['1.17'],['1664.82']
435,2019-12-02,14:48:40.696250,['2.23'],['1668.06']
436,2019-12-02,14:48:40.728446,['1.46'],['1664.82']
437,2019-12-02,14:48:40.744824,['-2.16'],['1665.74']
438,2019-12-02,14:48:40.776231,['-2.44'],['1657.00']
439,2019-12-02,14:48:40.808613,['2.08'],['1666.67']
440,2019-12-02,14:48:40.840175,['2.48'],['1665.28']
441,2019-12-02,14:48:40.872267,['-1.91'],['1676.91']
442,2019-12-02,14:48:40.904441,['-2.36'],['1669.91']
443,2019-12-02,14:48:40.936085,['-0.18'],['1658.83']
444,2019-12-02,14:48:40.952270,['2.17'],['1663.89']
445,2019-12-02,14:48:40.984196,['2.37'],['1661.13']
446,2019-12-02,14:48:41.015922,['-2.18'],['1671.31']
